global,year,rpost5
global,2000,0.012808498926460743
global,2001,0.01188316848129034
global,2002,0.010750112123787403
global,2003,0.00976418424397707
global,2004,0.00879274494946003
global,2005,0.0074144396930933
global,2006,0.00639480073004961
global,2007,0.005592633038759232
global,2008,0.005061382427811623
global,2009,0.004692211747169495
global,2010,0.004418244119733572
global,2011,0.0041643851436674595
global,2012,0.00394208962097764
global,2013,0.003688126103952527
global,2014,0.0034473773557692766
global,2015,0.0031940743792802095
global,2016,0.0030664389487355947
global,2017,0.0029301801696419716
