global,year,rufive11
global,2000,8.680838584899902
global,2001,8.420999526977539
global,2002,8.136968612670898
global,2003,7.832258224487305
global,2004,7.529581546783447
global,2005,7.230571746826172
global,2006,6.970757484436035
global,2007,6.710572242736816
global,2008,6.4583821296691895
global,2009,6.213334560394287
global,2010,5.9680705070495605
global,2011,5.735130310058594
global,2012,5.517949104309082
global,2013,5.3343987464904785
global,2014,5.172826290130615
global,2015,5.021669864654541
global,2016,4.896847724914551
global,2017,4.783420085906982
