global,year,fneo3
global,2000,0.010331107303500175
global,2001,0.010086389258503914
global,2002,0.00987282209098339
global,2003,0.009670722298324108
global,2004,0.009437358938157558
global,2005,0.009185035713016987
global,2006,0.008851194754242897
global,2007,0.0085292374715209
global,2008,0.008187452331185341
global,2009,0.007860309444367886
global,2010,0.007593120448291302
global,2011,0.007360634859651327
global,2012,0.00715914461761713
global,2013,0.0069344537332654
global,2014,0.006666991859674454
global,2015,0.006424817722290754
global,2016,0.006326061207801104
global,2017,0.006337370723485947
