region,year,fpost5
5_emr,2000,0.00022345395700540394
6_wpr,2000,0.00102039217017591
1_afr,2000,0.00015888572670519352
2_amr,2000,5.897997834836133e-05
3_sear,2000,0.00038739893352612853
4_eur,2000,0.0
5_emr,2001,0.0002102497237501666
2_amr,2001,9.872465307125822e-05
3_sear,2001,0.00036017392994835973
6_wpr,2001,0.0010634975042194128
1_afr,2001,0.00015302907559089363
4_eur,2001,0.0
5_emr,2002,0.00019656086806207895
3_sear,2002,0.00034501065965741873
4_eur,2002,0.0
1_afr,2002,0.00014776806347072124
6_wpr,2002,0.0010096613550558686
2_amr,2002,9.433327795704827e-05
6_wpr,2003,0.000996414222754538
4_eur,2003,0.0
3_sear,2003,0.0003229839203413576
1_afr,2003,0.00014143365842755884
5_emr,2003,0.00018005544552579522
2_amr,2003,6.621533975703642e-05
4_eur,2004,0.0
5_emr,2004,0.00016916761524043977
6_wpr,2004,0.0009106710785999894
1_afr,2004,0.0001463462831452489
3_sear,2004,0.0002939781697932631
2_amr,2004,8.145063475240022e-05
4_eur,2005,0.0
2_amr,2005,5.665356002282351e-05
6_wpr,2005,0.0005910908803343773
5_emr,2005,0.0001611293264431879
3_sear,2005,0.0002931402705144137
1_afr,2005,0.0001375479478156194
1_afr,2006,0.00014114064106252044
2_amr,2006,7.05454294802621e-05
5_emr,2006,0.0001571739267092198
4_eur,2006,1.2816715752705932e-05
3_sear,2006,0.000274924241239205
6_wpr,2006,0.00034060145844705403
5_emr,2007,0.00015730589802842587
1_afr,2007,0.0001382664340781048
6_wpr,2007,0.00018692106823436916
2_amr,2007,4.441410783329047e-05
3_sear,2007,0.0002740435884334147
4_eur,2007,0.0
5_emr,2008,0.00015807399176992476
6_wpr,2008,0.00011313574941596016
3_sear,2008,0.0002589875948615372
2_amr,2008,7.414743595290929e-05
4_eur,2008,0.0
1_afr,2008,0.00013265438610687852
5_emr,2009,0.00015547021757811308
1_afr,2009,0.00012892871745862067
6_wpr,2009,0.00014140021812636405
4_eur,2009,0.0
2_amr,2009,6.827423203503713e-05
3_sear,2009,0.0002503850555513054
6_wpr,2010,0.00020753189164679497
4_eur,2010,0.0
1_afr,2010,0.00012554180284496397
3_sear,2010,0.0002467801095917821
2_amr,2010,4.778630318469368e-05
5_emr,2010,0.00015174031432252377
1_afr,2011,0.00012060340668540448
4_eur,2011,0.0
5_emr,2011,0.00013774141552858055
3_sear,2011,0.00023696033167652786
2_amr,2011,5.8375735534355044e-05
6_wpr,2011,0.00027358782244846225
2_amr,2012,9.899161523208022e-05
6_wpr,2012,0.000251200603088364
5_emr,2012,0.00013978789502289146
3_sear,2012,0.0002418554649921134
1_afr,2012,0.00012212173896841705
4_eur,2012,0.0
1_afr,2013,0.00011968696344411
5_emr,2013,0.00014298982569016516
2_amr,2013,5.196665006224066e-05
4_eur,2013,0.0
3_sear,2013,0.0002440877869958058
6_wpr,2013,0.00023944950953591615
2_amr,2014,6.756052607670426e-05
5_emr,2014,0.00013932141882833093
3_sear,2014,0.00023788047838024795
4_eur,2014,0.0
1_afr,2014,0.00012205683742649853
6_wpr,2014,0.00017941821715794504
2_amr,2015,5.567445623455569e-05
4_eur,2015,0.0
6_wpr,2015,0.00012248018174432218
1_afr,2015,0.00012084071204299107
5_emr,2015,0.00013969349674880505
3_sear,2015,0.00023631750082131475
2_amr,2016,7.180640386650339e-05
1_afr,2016,0.00011941947741433978
3_sear,2016,0.00023824311210773885
5_emr,2016,0.00014335974992718548
6_wpr,2016,0.0001219382174895145
4_eur,2016,0.0
1_afr,2017,0.00012241285003256053
2_amr,2017,6.885413313284516e-05
4_eur,2017,0.0
3_sear,2017,0.00023753015557304025
5_emr,2017,0.0001451841671951115
6_wpr,2017,0.00012002244329778478
