global,year,fufive5
global,2000,0.017279047518968582
global,2001,0.015834612771868706
global,2002,0.014461949467658997
global,2003,0.01301587000489235
global,2004,0.01185383927077055
global,2005,0.01075749285519123
global,2006,0.010045303031802177
global,2007,0.009407096542418003
global,2008,0.008670135401189327
global,2009,0.00810852088034153
global,2010,0.007705589756369591
global,2011,0.007433588150888681
global,2012,0.007223433814942837
global,2013,0.006811000872403383
global,2014,0.006348537281155586
global,2015,0.005892721004784107
global,2016,0.005637284368276596
global,2017,0.005774810444563627
