global,year,fneo2
global,2000,0.0005110501078888774
global,2001,0.0005267419619485736
global,2002,0.0005380046204663813
global,2003,0.0005393777973949909
global,2004,0.0005394137697294354
global,2005,0.0005299526383168995
global,2006,0.0005204947083257139
global,2007,0.0005024663987569511
global,2008,0.00047035457100719213
global,2009,0.00044521610834635794
global,2010,0.0004218555986881256
global,2011,0.00041975188651122153
global,2012,0.00040006570634432137
global,2013,0.00035590206971392035
global,2014,0.00031815897091291845
global,2015,0.0002951509668491781
global,2016,0.0002934051735792309
global,2017,0.00029835852910764515
