global,year,rneo15
global,2000,2.5234177112579346
global,2001,2.4855644702911377
global,2002,2.4424312114715576
global,2003,2.395326852798462
global,2004,2.3631985187530518
global,2005,2.3282828330993652
global,2006,2.302934408187866
global,2007,2.266859292984009
global,2008,2.234546184539795
global,2009,2.1976993083953857
global,2010,2.1815710067749023
global,2011,2.1654837131500244
global,2012,2.14982271194458
global,2013,2.136202812194824
global,2014,2.129429817199707
global,2015,2.1218411922454834
global,2016,2.0861802101135254
global,2017,2.0200788974761963
