global,year,ufive15
global,2000,571335.2881440818
global,2001,564792.4286769778
global,2002,557341.6947548985
global,2003,547438.1807868183
global,2004,542568.0870956928
global,2005,536183.6187457293
global,2006,533673.997674048
global,2007,528971.3053925484
global,2008,523284.0922719389
global,2009,517877.4922698289
global,2010,517228.52945420146
global,2011,513530.6259267926
global,2012,507750.796296224
global,2013,503995.2577438876
global,2014,501625.9496261608
global,2015,499034.2818625532
global,2016,489913.29254002124
global,2017,474229.3622499332
