global,year,fufive10
global,2000,0.13701343536376953
global,2001,0.13825252652168274
global,2002,0.13988140225410461
global,2003,0.14065802097320557
global,2004,0.1443408727645874
global,2005,0.14625585079193115
global,2006,0.15067344903945923
global,2007,0.15482977032661438
global,2008,0.15643934905529022
global,2009,0.15943098068237305
global,2010,0.16251763701438904
global,2011,0.16524957120418549
global,2012,0.17000241577625275
global,2013,0.17232468724250793
global,2014,0.17434890568256378
global,2015,0.1756320297718048
global,2016,0.17589020729064941
global,2017,0.17815729975700378
