country,year,fufive15
afg,2000,0.036352843046188354
afg,2001,0.03634404018521309
afg,2002,0.039750851690769196
afg,2003,0.04378353804349899
afg,2004,0.045541614294052124
afg,2005,0.04606224596500397
afg,2006,0.04495510086417198
afg,2007,0.04789616912603378
afg,2008,0.04910387471318245
afg,2009,0.049621544778347015
afg,2010,0.05149712786078453
afg,2011,0.05247211083769798
afg,2012,0.05387933552265167
afg,2013,0.05764853209257126
afg,2014,0.06017840653657913
afg,2015,0.06208809092640877
afg,2016,0.06432752311229706
afg,2017,0.06392883509397507
ago,2000,0.038445908576250076
ago,2001,0.03716260567307472
ago,2002,0.037283558398485184
ago,2003,0.03878091648221016
ago,2004,0.040124718099832535
ago,2005,0.04100800305604935
ago,2006,0.04239610955119133
ago,2007,0.04464948922395706
ago,2008,0.04665464162826538
ago,2009,0.04833591729402542
ago,2010,0.051024068146944046
ago,2011,0.052913159132003784
ago,2012,0.05480740964412689
ago,2013,0.05637232959270477
ago,2014,0.059446532279253006
ago,2015,0.06633693724870682
ago,2016,0.06898462027311325
ago,2017,0.06989188492298126
alb,2000,0.2007073312997818
alb,2001,0.20644377171993256
alb,2002,0.2129124402999878
alb,2003,0.21846555173397064
alb,2004,0.2240212857723236
alb,2005,0.22940418124198914
alb,2006,0.2350652664899826
alb,2007,0.23989562690258026
alb,2008,0.2442718744277954
alb,2009,0.25452280044555664
alb,2010,0.258249968290329
alb,2011,0.26161280274391174
alb,2012,0.2647559940814972
alb,2013,0.2667883336544037
alb,2014,0.26824355125427246
alb,2015,0.2708316147327423
alb,2016,0.2722044289112091
alb,2017,0.2716226875782013
and,2000,0.16303688287734985
and,2001,0.24501898884773254
and,2002,0.24553890526294708
and,2003,0.21877503395080566
and,2004,0.2194354087114334
and,2005,0.22010862827301025
and,2006,0.22076867520809174
and,2007,0.2211514711380005
and,2008,0.22146020829677582
and,2009,0.22172683477401733
and,2010,0.22197948396205902
and,2011,0.3702925145626068
and,2012,0.29629629850387573
and,2013,0.2222222238779068
and,2014,0.04444444179534912
and,2015,0.0833333283662796
and,2016,0.1666666716337204
and,2017,0.1666666716337204
are,2000,0.27235183119773865
are,2001,0.2752982974052429
are,2002,0.27710315585136414
are,2003,0.27895477414131165
are,2004,0.2809806168079376
are,2005,0.2836188077926636
are,2006,0.28603121638298035
are,2007,0.2884339988231659
are,2008,0.2914949059486389
are,2009,0.29432669281959534
are,2010,0.2961237132549286
are,2011,0.29839590191841125
are,2012,0.29915064573287964
are,2013,0.29958686232566833
are,2014,0.3001432418823242
are,2015,0.30058807134628296
are,2016,0.3011836111545563
are,2017,0.30104586482048035
arg,2000,0.23842069506645203
arg,2001,0.2500521242618561
arg,2002,0.23434104025363922
arg,2003,0.23375770449638367
arg,2004,0.2558779716491699
arg,2005,0.2618577778339386
arg,2006,0.27316364645957947
arg,2007,0.2530650198459625
arg,2008,0.27395981550216675
arg,2009,0.2764846682548523
arg,2010,0.2797582149505615
arg,2011,0.27449944615364075
arg,2012,0.29111090302467346
arg,2013,0.2845625579357147
arg,2014,0.29925453662872314
arg,2015,0.2962716817855835
arg,2016,0.28717657923698425
arg,2017,0.2931952476501465
arm,2000,0.16435550153255463
arm,2001,0.17245212197303772
arm,2002,0.17974454164505005
arm,2003,0.18665964901447296
arm,2004,0.1938191056251526
arm,2005,0.20103247463703156
arm,2006,0.20821356773376465
arm,2007,0.21527035534381866
arm,2008,0.22200967371463776
arm,2009,0.2282414436340332
arm,2010,0.23433184623718262
arm,2011,0.24313603341579437
arm,2012,0.24808739125728607
arm,2013,0.25326070189476013
arm,2014,0.2576805651187897
arm,2015,0.26180461049079895
arm,2016,0.2654712200164795
arm,2017,0.2656013071537018
atg,2000,0.20790359377861023
atg,2001,0.15177369117736816
atg,2002,0.36900943517684937
atg,2003,0.3339169919490814
atg,2004,0.43558868765830994
atg,2005,0.1504325270652771
atg,2006,0.20215007662773132
atg,2007,0.14643478393554688
atg,2008,0.15661250054836273
atg,2009,0.1114668920636177
atg,2010,0.11422863602638245
atg,2011,0.16560418903827667
atg,2012,0.21536637842655182
atg,2013,0.26908519864082336
atg,2014,0.35293424129486084
atg,2015,0.3471478819847107
atg,2016,0.35387957096099854
atg,2017,0.2665519118309021
aus,2000,0.2817448675632477
aus,2001,0.26857465505599976
aus,2002,0.2554817497730255
aus,2003,0.25936684012413025
aus,2004,0.2626805901527405
aus,2005,0.2683643400669098
aus,2006,0.23512321710586548
aus,2007,0.284117192029953
aus,2008,0.2858642041683197
aus,2009,0.28198280930519104
aus,2010,0.28831246495246887
aus,2011,0.2674259543418884
aus,2012,0.2659597098827362
aus,2013,0.2777658700942993
aus,2014,0.2711764872074127
aus,2015,0.2622179687023163
aus,2016,0.27098575234413147
aus,2017,0.2711024284362793
aut,2000,0.3798326551914215
aut,2001,0.34249529242515564
aut,2002,0.2884908616542816
aut,2003,0.2836584448814392
aut,2004,0.2886368930339813
aut,2005,0.3039941191673279
aut,2006,0.2443840652704239
aut,2007,0.27497804164886475
aut,2008,0.3246053457260132
aut,2009,0.32869115471839905
aut,2010,0.3200465440750122
aut,2011,0.3628455400466919
aut,2012,0.33189520239830017
aut,2013,0.3658786416053772
aut,2014,0.3391435146331787
aut,2015,0.3430899977684021
aut,2016,0.3879997730255127
aut,2017,0.3603613078594208
aze,2000,0.07234369963407516
aze,2001,0.07647985965013504
aze,2002,0.08104460686445236
aze,2003,0.08565685898065567
aze,2004,0.09034233540296555
aze,2005,0.0950477197766304
aze,2006,0.09999006241559982
aze,2007,0.10518591850996017
aze,2008,0.10983426123857498
aze,2009,0.11423730850219727
aze,2010,0.11836192011833191
aze,2011,0.12201332300901413
aze,2012,0.1253441423177719
aze,2013,0.12813018262386322
aze,2014,0.13276848196983337
