global,year,rpost9
global,2000,11.105575561523438
global,2001,10.6211576461792
global,2002,10.127507209777832
global,2003,9.641509056091309
global,2004,9.20673942565918
global,2005,8.784089088439941
global,2006,8.452604293823242
global,2007,8.056853294372559
global,2008,7.640313625335693
global,2009,7.276776313781738
global,2010,6.930980205535889
global,2011,6.578705310821533
global,2012,6.199601650238037
global,2013,5.8106794357299805
global,2014,5.480273246765137
global,2015,5.053230285644531
global,2016,4.85789155960083
global,2017,4.6547651290893555
