global,year,fpost2
global,2000,0.03853028640151024
global,2001,0.04050244390964508
global,2002,0.042295798659324646
global,2003,0.0430912971496582
global,2004,0.04477293789386749
global,2005,0.044703226536512375
global,2006,0.045366305857896805
global,2007,0.04446493461728096
global,2008,0.04150044545531273
global,2009,0.03864334151148796
global,2010,0.036739740520715714
global,2011,0.03328486904501915
global,2012,0.030819078907370567
global,2013,0.028112106025218964
global,2014,0.0270178634673357
global,2015,0.02589322254061699
global,2016,0.024852074682712555
global,2017,0.025891540572047234
